Name	YT Scope Project	
File	C:\Users\jonas\Documents\Master UIA\MAS516\Cylinder_Measurements.csv	
Starttime of export	133437468264370000	mandag 6. november 2023	13:20:26.437
Endtime of export	133437469090070000	mandag 6. november 2023	13:21:49.007


Name	fCylPosition	Name	fSupplyPressure	Name	fReturnPressure	Name	fPistonPressure	Name	fRodPressure	Name	nValveOutput	Name	fControlSignal_Cyl	Name	fCylinder_ControlInput	Name	fVelRefCyl	Name	fPosRefCyl	Name	fPosErrorWinch	Name	fPosErrorCyl
SymbolComment	 Cylinder and winch position	SymbolComment	 Pressures Valve	SymbolComment		SymbolComment	 Pressures Cylinder	SymbolComment		SymbolComment	 Initial value at offset	SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment		SymbolComment	
Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	INT16	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64	Data-Type	REAL64
SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	2	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8	VariableSize	8
SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True	SymbolBased	True
IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	61488	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448	IndexGroup	16448
IndexOffset	390152	IndexOffset	390176	IndexOffset	390184	IndexOffset	390192	IndexOffset	390200	IndexOffset	389454	IndexOffset	389504	IndexOffset	389480	IndexOffset	389528	IndexOffset	389536	IndexOffset	389544	IndexOffset	389552
SymbolName	G_InputsScaled.fCylPosition	SymbolName	G_InputsScaled.fSupplyPressure	SymbolName	G_InputsScaled.fReturnPressure	SymbolName	G_InputsScaled.fPistonPressure	SymbolName	G_InputsScaled.fRodPressure	SymbolName	G_Outputs.stCylinderOutputs.nValveOutput	SymbolName	G_ControlParameters.fControlSignal_Cyl	SymbolName	G_ControlParameters.fCylinder_ControlInput	SymbolName	G_ControlParameters.fVelRefCyl	SymbolName	G_ControlParameters.fPosRefCyl	SymbolName	G_ControlParameters.fPosErrorWinch	SymbolName	G_ControlParameters.fPosErrorCyl
NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1	NetID	192.168.0.10.1.1
Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851	Port	851
Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

133437468264370000	0.00021829975675169422	133437468264370000	-74.026200140385143	133437468264370000	0.077623828852198873	133437468264370000	0.5	133437468264370000	-6.2751091036713769	133437468264370000	19660	133437468264370000	0	133437468264370000	0	133437468264370000	0	133437468264370000	0	133437468264370000	-0.66432602270660723	133437468264370000	-0.21829975675169422
133437468264470000	0.00023389259651968031	133437468264470000	-74.111651966917933	133437468264470000	0.070299386577959533	133437468264470000	0.5	133437468264470000	-6.2506942960905789	133437468264470000	19660	133437468264470000	0	133437468264470000	0	133437468264470000	0	133437468264470000	0	133437468264470000	-0.66432602270660723	133437468264470000	-0.23389259651968031
133437468264570000	0.00021829975675169422	133437468264570000	-74.172688985869925	133437468264570000	0.070299386577959533	133437468264570000	0.5	133437468264570000	-6.1164128543961915	133437468264570000	19660	133437468264570000	0	133437468264570000	0	133437468264570000	0	133437468264570000	0	133437468264570000	-0.66432602270660723	133437468264570000	-0.21829975675169422
133437468264670000	0.00023389259651968031	133437468264670000	-74.13606677449873	133437468264670000	0.075182348094119056	133437468264670000	0.5	133437468264670000	-6.201864680928983	133437468264670000	19660	133437468264670000	0	133437468264670000	0	133437468264670000	0	133437468264670000	0	133437468264670000	-0.66432602270660723	133437468264670000	-0.23389259651968031
133437468264770000	0.00023389259651968031	133437468264770000	-74.123859370708331	133437468264770000	0.070299386577959533	133437468264770000	0.5	133437468264770000	-6.3117313150425742	133437468264770000	19660	133437468264770000	0	133437468264770000	0	133437468264770000	0	133437468264770000	0	133437468264770000	-0.66432602270660723	133437468264770000	-0.23389259651968031
133437468264870000	0.00023389259651968031	133437468264870000	-74.184896389660324	133437468264870000	0.075182348094119056	133437468264870000	0.5	133437468264870000	-6.34835352641377	133437468264870000	19660	133437468264870000	0	133437468264870000	0	133437468264870000	0	133437468264870000	0	133437468264870000	-0.66432602270660723	133437468264870000	-0.23389259651968031
133437468264970000	0.00023389259651968031	133437468264970000	-74.197103793450722	133437468264970000	0.081286049989318487	133437468264970000	0.5	133437468264970000	-6.2506942960905789	133437468264970000	19660	133437468264970000	0	133437468264970000	0	133437468264970000	0	133437468264970000	0	133437468264970000	-0.66432602270660723	133437468264970000	-0.23389259651968031
133437468265070000	0.00021829975675169422	133437468265070000	-74.13606677449873	133437468265070000	0.087389751884517974	133437468265070000	0.5	133437468265070000	-6.177449873348186	133437468265070000	19660	133437468265070000	0	133437468265070000	0	133437468265070000	0	133437468265070000	0	133437468265070000	-0.66432602270660723	133437468265070000	-0.21829975675169422
133437468265170000	0.00023389259651968031	133437468265170000	-74.123859370708331	133437468265170000	0.078844569231238726	133437468265170000	0.5	133437468265170000	-6.2506942960905789	133437468265170000	19660	133437468265170000	0	133437468265170000	0	133437468265170000	0	133437468265170000	0	133437468265170000	-0.66432602270660723	133437468265170000	-0.23389259651968031
